"dissMeasure","clustMethod","k","ASW","CH","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","PH"
"FRECHET","hclust",5,0.503832575535772,207.053224252703,1,2,3,3,2,1,2,3,1,3,1,1,1,1,3,1,1,1,1,2,4,4,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,5,0.527025976655917
"FRECHET","hclust",6,0.482353587172855,183.32508915848,1,2,3,3,4,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,5,5,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,3,6,0.519558233339739
"FRECHET","hclust",7,0.610817524069066,533.838966491195,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,6,3,2,5,5,1,2,3,3,3,3,5,1,3,2,5,1,2,1,2,5,1,5,1,5,1,1,1,1,1,7,1,3,7,0.433829357661448
"FRECHET","hclust",8,0.600084554951767,555.775232590072,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,7,3,2,5,5,1,2,3,3,3,3,5,1,3,2,5,1,2,1,2,5,1,5,1,5,1,1,1,1,1,8,1,3,8,0.433620471253517
"DTWARP","PAM",2,0.597781159872423,113.61090741692,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,1,0.468942480801234
"DTWARP","PAM",3,0.4674149345488,132.536433707284,1,2,2,3,3,1,2,2,3,3,1,2,3,1,2,3,1,1,3,3,3,2,3,2,1,1,1,2,3,3,3,2,1,3,3,2,1,2,3,1,3,1,2,3,2,1,2,3,3,2,1,2,3,2,3,0.398494972941933
"DTWARP","PAM",4,0.387675413809661,86.938569925534,1,2,2,3,1,1,2,2,3,3,4,2,3,4,2,1,4,1,1,3,3,2,4,2,4,4,4,2,3,3,1,2,4,3,1,2,1,2,3,4,3,4,2,1,2,4,2,3,3,2,1,2,3,2,3,0.343069359604858
"DTWARP","PAM",5,0.464825495498953,80.4812360897871,1,2,2,3,1,1,2,2,3,3,4,2,3,4,2,1,4,1,1,5,5,2,5,2,4,4,4,2,3,3,1,5,4,3,1,2,1,2,5,4,3,4,2,1,5,4,2,3,5,2,1,2,5,2,3,0.334310905387795
"DTWARP","PAM",6,0.511092907052933,86.5806911270162,1,2,2,3,1,1,4,2,3,3,5,2,3,5,2,1,5,1,1,6,6,4,6,2,5,5,5,4,3,3,1,4,5,3,1,2,1,2,6,5,3,5,2,1,6,5,2,3,6,2,1,2,6,2,3,0.340123716498177
"DTWARP","PAM",7,0.547581036258212,64.4155095353968,1,2,2,3,1,1,4,2,3,3,5,2,3,5,2,1,5,1,1,6,6,4,6,2,5,5,5,4,7,7,1,4,5,3,1,2,1,2,6,5,3,5,2,1,6,5,2,7,6,2,1,2,6,2,3,0.336872669337682
"DTWARP","PAM",8,0.548042638790802,55.6183480984086,1,2,2,3,1,1,4,2,3,3,5,2,3,5,2,1,5,1,1,6,6,7,4,2,5,5,5,7,8,8,1,4,5,3,1,2,1,2,6,5,3,5,2,1,6,5,2,8,6,2,1,2,6,2,3,0.332507993473393
"DTWARP","hclust",2,0.558258409728859,126.110468419156,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,0.430890175089097
"DTWARP","hclust",3,0.404240648261575,93.0324213236698,1,2,2,1,1,1,2,2,1,2,3,2,2,3,2,1,3,1,1,2,2,2,2,2,3,3,3,2,1,1,1,2,3,1,1,2,1,2,2,3,2,3,2,1,2,3,2,1,2,2,1,2,2,2,1,0.351328281186231
"DTWARP","hclust",4,0.538477709250307,182.771204574402,1,2,2,1,1,1,3,2,1,3,4,2,3,4,2,1,4,1,1,3,3,3,3,2,4,4,4,3,1,1,1,3,4,1,1,2,1,2,3,4,3,4,2,1,3,4,2,1,3,2,1,2,3,2,1,0.395190015131037
"DTWARP","hclust",5,0.57009371979823,199.536507848193,1,2,2,1,1,1,3,2,1,4,5,2,4,5,2,1,5,1,1,3,3,4,3,2,5,5,5,4,1,1,1,3,5,1,1,2,1,2,3,5,4,5,2,1,3,5,2,1,3,2,1,2,3,2,1,0.390194085278888
"DTWARP","hclust",6,0.559221175463887,220.858269491991,1,2,2,1,1,1,3,2,1,4,5,2,4,5,2,1,5,1,1,3,3,4,3,2,5,5,5,4,1,1,1,3,5,1,1,2,1,2,3,5,4,5,2,1,3,5,2,1,3,2,1,2,3,2,6,0.395969740092808
"DTWARP","hclust",7,0.561583354926922,247.310853850862,1,2,2,1,1,1,3,2,1,4,5,2,4,5,2,1,5,1,1,6,6,4,6,2,5,5,5,4,1,1,1,3,5,1,1,2,1,2,6,5,4,5,2,1,3,5,2,1,6,2,1,2,6,2,7,0.389957102900869
"DTWARP","hclust",8,0.600644639856278,272.931866099371,1,2,2,1,1,1,3,2,1,4,5,2,4,5,2,1,5,1,1,6,6,7,6,2,5,5,5,7,1,1,1,3,5,1,1,2,1,2,6,5,4,5,2,1,3,5,2,1,6,2,1,2,6,2,8,0.38824873173499
