"dissMeasure","clustMethod","k","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","ASW","CH","PH"
"FRECHET","hclust",5,1,2,1,1,2,3,2,1,3,1,3,3,1,3,1,3,1,3,3,2,4,4,1,2,3,3,1,2,1,1,1,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,5,1,1,5,0.645078501631331,324.161971375245,0.536359578751917
"FRECHET","hclust",6,1,2,1,1,3,4,3,1,4,1,4,4,1,4,1,4,1,4,4,2,5,5,1,2,4,4,1,2,1,1,1,1,4,1,1,3,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,6,1,1,6,0.604641906284426,310.623776869702,0.526673991221598
"FRECHET","hclust",7,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,6,3,2,5,5,1,2,3,3,3,3,5,1,3,4,5,1,2,1,2,5,1,5,1,5,1,5,1,1,1,7,1,3,7,0.604857002681453,532.417416350157,0.430944915302338
"FRECHET","hclust",8,1,2,3,3,4,5,4,3,5,3,5,5,1,5,3,5,1,5,5,2,6,7,3,2,5,5,1,2,3,3,3,3,5,1,3,4,5,1,2,1,2,5,1,5,1,5,1,5,1,1,1,8,1,3,8,0.589482163577356,558.389913701832,0.430753360985396
"DTWARP","PAM",2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,0.469397949355081,87.1336381713706,0.317134777846814
"DTWARP","PAM",3,1,2,3,3,3,1,2,2,3,3,3,1,1,1,2,3,3,3,3,3,2,2,1,3,3,2,3,3,3,3,3,1,1,1,1,3,3,1,2,2,2,1,2,1,1,1,1,1,3,2,3,2,1,3,3,0.390252691215736,154.698119789485,0.304822462900144
"DTWARP","PAM",4,1,2,3,3,3,1,2,2,3,3,3,4,4,1,2,3,3,3,3,3,2,2,1,3,3,2,3,3,3,3,3,4,1,4,1,3,3,1,2,2,2,1,2,1,1,1,4,4,3,2,3,2,1,3,3,0.361368182705386,112.783585541731,0.288138438493209
"DTWARP","PAM",5,1,2,1,3,1,1,2,2,1,3,1,4,4,5,2,1,1,1,1,3,2,2,5,1,1,2,5,1,3,1,5,4,5,4,3,1,1,5,2,2,2,5,2,5,3,5,4,4,1,2,1,2,5,1,1,0.333932460055736,27.9657433388179,0.216219589728606
"DTWARP","PAM",6,1,2,1,3,1,1,2,2,1,3,1,4,4,5,2,1,1,1,1,3,6,2,5,6,1,2,5,1,3,1,5,4,5,4,3,1,1,5,2,2,2,5,6,5,3,5,4,4,6,6,1,2,5,1,1,0.329784162294934,25.8173937610689,0.209751264901147
"DTWARP","PAM",7,1,2,1,3,1,1,2,2,1,4,1,5,5,6,2,1,1,4,1,3,7,2,6,7,1,2,6,1,4,4,4,5,6,5,3,4,4,6,2,2,2,6,7,6,3,6,5,5,7,7,4,2,6,4,1,0.223205688791232,15.3479840473178,0.172365233480974
"DTWARP","PAM",8,1,2,1,3,1,4,2,2,1,3,1,5,5,6,2,1,1,1,1,3,7,2,6,7,1,2,8,1,8,1,8,5,6,5,3,1,1,6,2,2,2,6,7,6,3,6,5,5,7,7,1,2,6,1,1,0.385430354363433,95.4741288898282,0.242532097382284
"DTWARP","hclust",2,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,0.443682328804637,145.480927526479,0.298407184909817
"DTWARP","hclust",3,1,2,2,1,2,3,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,0.367823529739584,94.1386807674512,0.315771944364513
"DTWARP","hclust",4,1,2,3,1,3,4,3,3,3,1,3,1,1,1,2,3,3,3,1,1,3,3,1,3,3,3,1,3,1,3,1,1,1,1,1,3,3,1,2,2,2,1,3,1,1,1,1,1,3,3,3,2,1,3,3,0.384544071496379,158.044113956263,0.341427675884537
"DTWARP","hclust",5,1,2,3,4,3,5,3,3,3,4,3,1,1,4,2,3,3,3,4,4,3,3,4,3,3,3,4,3,4,3,4,1,4,1,4,3,3,4,2,2,2,4,3,4,1,4,1,1,3,3,3,2,4,3,3,0.368091936741337,179.027239766439,0.318770541525991
"DTWARP","hclust",6,1,2,3,4,5,6,3,3,5,4,3,1,1,4,2,3,3,5,4,4,3,3,4,3,5,5,4,3,4,5,4,1,4,1,4,5,5,4,2,2,2,4,3,4,1,4,1,1,3,3,5,2,4,5,5,0.272438047105581,178.543679631955,0.254746575780252
"DTWARP","hclust",7,1,2,3,4,5,6,3,3,5,4,3,1,1,7,2,3,3,5,4,4,3,3,7,3,5,5,4,3,4,5,4,1,7,1,4,5,5,7,2,2,2,7,3,7,1,7,1,1,3,3,5,2,7,5,5,0.350935708867702,225.792899492919,0.242673276379664
"DTWARP","hclust",8,1,2,3,4,5,6,7,7,5,4,3,1,1,8,2,3,3,5,4,4,7,7,8,7,5,5,4,3,4,5,4,1,8,1,4,5,5,8,2,2,2,8,7,8,1,8,1,1,7,7,5,2,8,5,5,0.353891619614209,247.860813692641,0.228007054425672
