"dissMeasure","clustMethod","k","ASW","CH","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","PH"
"FRECHET","hclust",6,0.591330638271096,293.107560632659,1,2,1,1,2,3,4,1,3,1,3,3,1,3,1,3,1,3,3,2,4,5,1,2,3,3,1,2,1,1,1,1,3,3,1,2,3,3,2,3,2,3,1,3,3,3,1,3,1,1,1,6,3,1,6,0.512686282591417
"FRECHET","hclust",7,0.539464766385352,336.802664159566,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,6,1,2,3,3,1,2,5,5,5,1,3,3,1,2,3,3,2,3,2,3,1,3,3,3,1,3,1,1,1,7,3,5,7,0.44969117270722
"FRECHET","hclust",8,0.57314866343209,584.909055761508,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,6,1,2,3,3,1,2,5,5,5,1,3,7,1,2,7,7,2,7,2,3,1,3,7,3,1,7,1,1,1,8,7,5,8,0.397925331558394
"DTWARP","PAM",2,0.0369180745832067,-6.88147089156841,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,-0.046561524699983
"DTWARP","PAM",3,0.18054972771768,37.7455924175267,1,2,1,1,1,1,2,2,1,1,1,1,1,3,2,1,1,1,1,1,3,2,3,1,1,3,3,3,3,1,1,1,3,1,1,1,1,3,2,2,2,3,2,3,3,3,1,1,3,3,1,2,3,1,1,0.194637820080446
"DTWARP","PAM",4,0.294272552124159,39.1884956764408,1,2,1,1,1,1,2,2,1,1,1,3,3,4,2,1,1,1,1,1,4,2,4,1,1,4,4,4,4,1,1,3,4,3,3,1,1,4,2,2,2,4,2,4,3,4,3,3,4,4,1,2,4,1,1,0.228957719667238
"DTWARP","PAM",5,0.306714670283193,26.3339048513088,1,2,1,3,1,1,2,2,1,3,1,4,4,5,2,1,1,1,3,3,5,2,5,1,1,5,5,1,3,1,5,4,5,4,3,3,1,5,2,2,2,5,2,5,5,5,4,4,1,5,1,2,5,5,1,0.212466097529501
"DTWARP","PAM",6,0.327515958737044,24.290128638478,1,2,1,3,1,1,4,1,1,3,1,5,5,6,2,1,1,1,3,3,4,4,6,4,1,6,6,1,3,1,6,5,6,5,3,3,1,6,2,2,2,6,4,6,6,6,5,5,4,6,1,2,6,6,1,0.209628300909504
"DTWARP","PAM",7,0.314820589417994,20.2548501966497,1,2,1,3,1,1,4,1,1,3,1,5,5,6,2,1,1,1,3,3,4,4,6,4,1,6,7,1,7,1,7,5,6,5,3,3,1,6,2,2,2,6,4,6,6,6,5,5,4,6,1,2,6,6,1,0.196406491028144
"DTWARP","PAM",8,0.299509239926968,17.3637599169537,1,2,1,3,1,1,4,1,1,3,1,5,5,6,2,1,1,1,3,3,4,4,6,4,1,6,7,1,7,1,7,5,6,5,8,3,1,6,2,2,2,6,4,6,8,6,5,8,4,6,1,2,6,6,1,0.187743834011583
"DTWARP","hclust",2,0.449528715685245,146.936495796669,1,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,0.300842778290876
"DTWARP","hclust",3,0.378951265594968,95.9424906623902,1,2,2,1,2,3,2,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,0.318724100447601
"DTWARP","hclust",4,0.390059049419139,156.036105797612,1,2,3,1,3,4,3,3,3,1,3,1,1,1,2,3,3,3,1,1,3,3,1,3,3,3,1,3,1,3,1,1,1,1,1,3,3,1,2,2,2,1,3,1,1,1,1,1,3,3,3,2,1,3,3,0.341448630948545
"DTWARP","hclust",5,0.367078404026706,173.360897321547,1,2,3,1,3,4,3,3,3,5,3,1,1,5,2,3,3,3,5,5,3,3,5,3,3,3,5,3,5,3,5,1,5,1,1,3,3,5,2,2,2,5,3,5,1,1,1,1,3,3,3,2,5,3,3,0.312793744672022
"DTWARP","hclust",6,0.335869951133652,173.751917193614,1,2,3,1,3,4,3,5,3,6,3,1,1,6,2,3,3,3,6,6,5,5,6,5,3,3,6,3,6,3,6,1,6,1,1,3,3,6,2,2,2,6,3,6,1,1,1,1,5,3,3,2,6,3,3,0.280619143766511
"DTWARP","hclust",7,0.36597816435213,207.928423045913,1,2,3,1,3,4,3,5,3,6,3,1,1,7,2,3,3,3,6,6,5,5,7,5,3,3,6,3,6,3,6,1,7,1,1,3,3,7,2,2,2,7,3,7,1,1,1,1,5,3,3,2,7,3,3,0.2729094832575
"DTWARP","hclust",8,0.314819612543512,197.748946615716,1,2,3,1,3,4,5,6,3,7,5,1,1,8,2,3,3,5,7,7,6,6,8,6,3,5,7,3,7,3,7,1,8,1,1,3,3,8,2,2,2,8,5,8,1,1,1,1,6,5,3,2,8,5,3,0.226687570845362
