"dissMeasure","clustMethod","k","ASW","CH","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","PH"
"FRECHET","hclust",8,0.554257109284903,553.783862280638,1,2,1,1,3,4,3,5,4,5,4,4,1,4,5,4,1,4,4,2,6,6,1,2,4,4,1,2,5,5,5,1,4,7,1,2,7,7,2,7,2,4,1,4,7,4,1,7,1,1,1,8,7,5,8,0.393043315940699
"DTWARP","PAM",2,0.709996059671947,67.7549357368577,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0.627626488730242
"DTWARP","PAM",3,0.601488852124762,154.187520731841,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,1,2,3,2,2,2,1,3,2,2,3,2,2,1,2,3,2,2,2,2,2,2,1,1,1,0.503033644350733
"DTWARP","PAM",4,0.571165828364109,165.741298235966,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,4,1,1,4,4,4,4,2,4,1,4,4,4,3,4,1,2,3,4,4,4,1,3,4,4,2,4,4,1,4,3,4,4,4,4,4,4,1,1,1,0.49063323393986
"DTWARP","PAM",5,0.499408865404416,134.721314286588,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,4,1,1,4,5,5,4,2,4,1,4,4,4,3,5,1,2,3,4,4,5,1,3,4,4,2,4,4,1,5,3,5,5,4,4,4,4,1,1,1,0.430670050889916
"DTWARP","PAM",6,0.571512835956179,186.861703035206,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,5,5,4,2,4,1,4,4,4,3,5,1,2,3,2,4,5,1,3,4,4,6,2,4,1,5,3,2,5,4,4,2,4,1,1,1,0.429408629438313
"DTWARP","PAM",7,0.5825523263658,267.905037072363,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,5,5,4,2,4,1,4,4,1,3,5,1,6,3,2,2,5,1,3,4,4,7,2,4,1,5,3,2,5,4,4,2,2,1,1,1,0.441459687955929
"DTWARP","PAM",8,0.567463561284227,320.618810223106,1,2,1,1,1,1,3,4,1,5,1,1,1,1,2,2,1,1,2,6,6,4,2,5,1,5,5,4,3,6,1,7,3,2,5,6,1,3,5,5,8,2,5,1,6,3,2,6,4,5,2,5,1,1,1,0.407990097023165
"DTWARP","hclust",2,0.464836541656143,33.3870506764869,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,1,1,0.290080311554123
"DTWARP","hclust",3,0.608031140259773,184.438747470895,1,2,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,2,1,3,2,1,2,3,2,2,2,1,3,2,2,2,2,1,1,2,3,2,2,1,2,1,2,1,1,1,0.510752708304525
"DTWARP","hclust",4,0.600451452713879,225.753187334484,1,2,1,1,1,1,3,1,1,4,1,1,1,1,2,2,1,1,2,4,4,1,2,4,1,4,4,1,3,4,1,2,3,4,4,4,1,3,4,4,2,2,1,1,4,3,4,4,1,4,1,4,1,1,1,0.492179082035104
"DTWARP","hclust",5,0.443478884978638,191.154492214645,1,2,1,1,1,3,4,1,1,5,1,1,1,1,2,2,1,1,2,5,5,1,2,5,1,5,5,1,4,5,1,2,4,5,5,5,1,4,5,5,2,2,1,1,5,4,5,5,1,5,1,5,1,1,1,0.483475572421525
"DTWARP","hclust",6,0.432119751457582,238.633486713805,1,2,1,1,1,3,4,1,1,5,1,1,1,1,2,2,1,1,2,5,5,1,2,5,1,5,5,1,4,5,1,2,4,5,5,5,1,4,5,5,6,2,1,1,5,4,5,5,1,5,1,5,1,1,1,0.487169311986107
"DTWARP","hclust",7,0.38352089503624,226.704773165239,1,2,1,1,1,3,4,1,1,5,1,1,1,1,2,2,1,1,2,6,5,1,2,5,1,5,5,1,4,5,1,2,4,5,5,6,1,4,5,5,7,2,1,1,6,4,5,5,1,5,1,5,1,1,1,0.464275042079105
"DTWARP","hclust",8,0.406721021326984,247.147699708241,1,2,1,1,1,3,4,1,1,5,1,1,1,1,2,2,1,1,2,6,5,1,2,5,1,5,5,1,4,7,1,2,4,7,7,6,1,4,5,5,8,2,1,1,6,4,7,7,1,5,1,7,1,1,1,0.438783081626383
