"dissMeasure","clustMethod","k","clusteringResult.545a22eafd19ec4943e33996","clusteringResult.545a37d1fd19ec4943e365ad","clusteringResult.545a37d8fd19ec4943e36647","clusteringResult.545a37e6fd19ec4943e36807","clusteringResult.545a37fcfd19ec4943e36bc1","clusteringResult.545a382dfd19ec4943e3747d","clusteringResult.545a3895fd19ec4943e38910","clusteringResult.545a38ebfd19ec4943e38ec5","clusteringResult.545a3910fd19ec4943e390af","clusteringResult.545a3974fd19ec4943e39daf","clusteringResult.545a3a29fd19ec4943e3c91d","clusteringResult.545a3a75fd19ec4943e3d63c","clusteringResult.545a3abcfd19ec4943e3de1f","clusteringResult.56152346334cf1dc03a2d0e6","clusteringResult.5615239c334cf1dc03a2e646","clusteringResult.561523ce334cf1dc03a2f363","clusteringResult.561523d9334cf1dc03a2f6ff","clusteringResult.56152412334cf1dc03a30d55","clusteringResult.56152437334cf1dc03a31b65","clusteringResult.56152463334cf1dc03a332aa","clusteringResult.56152488334cf1dc03a34151","clusteringResult.561524b0334cf1dc03a34e06","clusteringResult.561524cb334cf1dc03a35a3b","clusteringResult.561524e9334cf1dc03a3675d","clusteringResult.56152503334cf1dc03a37144","clusteringResult.5615254e334cf1dc03a397cd","clusteringResult.56152560334cf1dc03a39fa3","clusteringResult.56152562334cf1dc03a3a0bc","clusteringResult.56152591334cf1dc03a3b7e9","clusteringResult.561525d6334cf1dc03a3d877","clusteringResult.56152fb1334cf1dc03a3fb18","clusteringResult.5617c5c38924e2483a07c45d","clusteringResult.5617c6cb8924e2483a07f182","clusteringResult.5617c6e58924e2483a07fa10","clusteringResult.5617c71e8924e2483a080b78","clusteringResult.5617c73a8924e2483a08135f","clusteringResult.5617c7558924e2483a081b8a","clusteringResult.5617c7818924e2483a0825bd","clusteringResult.5617c78d8924e2483a0829b6","clusteringResult.5617c7a58924e2483a08315c","clusteringResult.5617c7ea8924e2483a084b95","clusteringResult.5617c81b8924e2483a08628b","clusteringResult.5617c81f8924e2483a086427","clusteringResult.5617c8218924e2483a086528","clusteringResult.5617c83e8924e2483a086f87","clusteringResult.5617c8598924e2483a087b63","clusteringResult.5617c8618924e2483a0880a9","clusteringResult.5617c87e8924e2483a088ef7","clusteringResult.5617c8858924e2483a0891b8","clusteringResult.5617c8a68924e2483a08a1a3","clusteringResult.5617c8be8924e2483a08acc5","clusteringResult.5617c8c68924e2483a08b040","clusteringResult.561cf3818924e2483a08f28a","clusteringResult.56d48107e87d2bca77555623","clusteringResult.56d5b8ade87d2bca775562a2","ASW","CH","PH"
"FRECHET","hclust",5,1,2,3,3,2,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,4,4,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,3,5,0.494496899719505,203.168517722,0.522777444390006
"FRECHET","hclust",6,1,2,3,3,2,1,4,3,1,3,1,1,1,1,3,1,1,1,1,2,4,5,3,2,1,1,1,2,3,3,3,3,1,1,3,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,3,6,0.481746478970177,181.732238793943,0.522485125587531
"FRECHET","hclust",7,1,2,3,3,2,4,5,3,4,3,4,4,1,4,3,4,1,4,4,2,5,6,3,2,4,4,1,2,3,3,3,3,4,1,3,2,4,1,2,1,2,4,1,4,1,4,1,1,1,1,1,7,1,3,7,0.606047295028512,529.529160264946,0.436167241404083
"FRECHET","hclust",8,1,2,3,3,4,5,6,3,5,3,5,5,1,5,3,5,1,5,5,2,6,7,3,2,5,5,1,2,3,3,3,3,5,1,3,4,5,1,2,1,2,5,1,5,1,5,1,1,1,1,1,8,1,3,8,0.578639958962776,554.211355539833,0.429032337238766
"FRECHET","diana",2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0.706896157981522,86.7008071130936,0.771904819422094
"FRECHET","diana",3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,0.615661644221996,59.7392936300615,0.773768915532779
"FRECHET","diana",4,1,2,1,1,2,1,3,2,1,2,1,1,1,1,2,1,1,1,1,2,3,3,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,4,0.542884765428212,143.187512696613,0.578431148760363
"FRECHET","diana",5,1,2,1,1,2,1,3,4,1,4,1,1,1,1,4,1,1,1,1,2,3,3,4,2,1,1,1,2,4,4,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,5,1,4,5,0.448936516524608,161.829778577107,0.556791335663369
"FRECHET","diana",6,1,2,1,1,2,1,3,4,1,4,1,1,1,1,4,1,1,1,1,2,3,5,4,2,1,1,1,2,4,4,4,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,6,1,4,6,0.436960828370936,141.177843171375,0.556339412869757
"FRECHET","diana",7,1,2,1,1,2,3,4,5,3,5,3,3,1,3,5,3,1,3,3,2,4,6,5,2,3,3,1,2,5,5,5,1,3,1,1,2,3,1,2,1,2,3,1,3,1,3,1,3,1,1,1,7,1,5,7,0.600359072988823,497.697218534081,0.453932913004974
"FRECHET","diana",8,1,2,1,1,3,4,5,6,4,6,4,4,1,4,6,4,1,4,4,3,5,7,6,3,4,4,1,2,6,6,6,1,4,1,1,3,4,1,2,1,2,4,1,4,1,4,1,4,1,1,1,8,1,6,8,0.582440786769044,524.475864030179,0.443526160658196
"DTWARP","PAM",2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,1,0.617547540364445,290.274199348428,0.422826815227111
"DTWARP","PAM",3,1,2,3,3,1,1,2,2,3,2,3,1,1,3,2,1,3,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,3,3,1,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,3,1,0.452731175178902,197.243273640877,0.398336915077795
"DTWARP","PAM",4,1,2,3,3,1,1,2,2,3,2,3,1,1,3,2,1,3,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,3,2,2,4,3,1,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,3,1,0.425478976883409,142.155818863072,0.398595404971409
"DTWARP","PAM",5,1,2,3,3,1,1,2,2,3,2,3,1,1,3,2,1,3,3,3,2,2,4,3,2,3,2,2,2,2,2,3,2,3,2,2,5,3,1,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,3,1,0.43309279066114,120.420652521237,0.402198824156684
"DTWARP","PAM",6,1,2,3,3,1,1,2,3,4,2,3,1,1,4,2,1,3,3,4,2,2,5,3,2,3,2,2,2,2,2,4,2,3,3,2,6,4,1,2,2,2,3,2,3,2,3,3,3,2,3,3,2,2,4,1,0.32785694262538,110.628007008611,0.355724934324266
"DTWARP","PAM",7,1,2,3,3,1,1,2,4,5,2,4,1,1,5,2,1,4,4,5,2,2,6,4,2,4,2,2,2,2,2,5,2,4,4,2,7,5,1,2,2,2,4,2,4,2,4,4,4,2,4,4,2,2,5,1,0.34156246940974,95.8221354200143,0.3434561731568
"DTWARP","PAM",8,1,2,3,3,1,1,4,2,5,4,6,1,1,5,2,1,6,6,5,4,4,7,6,4,6,2,2,4,4,2,5,4,6,2,4,8,5,1,4,4,4,6,2,6,2,6,6,6,2,6,6,4,4,5,1,0.254185696863178,88.4551712447008,0.27711731849308
"DTWARP","hclust",2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0.487127544975799,182.115789965448,0.386012587882811
"DTWARP","hclust",3,1,2,3,3,1,1,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,2,2,3,3,2,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,0.312097153523566,163.285848878104,0.409115703119473
"DTWARP","hclust",4,1,2,3,3,1,1,2,3,4,2,3,4,4,4,3,4,3,3,4,2,2,2,3,2,3,3,3,2,2,3,4,2,3,3,2,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,4,4,0.387040396383293,285.13356319945,0.369029422459408
"DTWARP","hclust",5,1,2,3,3,1,1,2,3,4,2,3,4,4,4,3,4,3,3,4,2,2,5,3,2,3,3,3,2,2,3,4,2,3,3,2,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,4,4,0.382290455126186,273.49017385217,0.371751605621636
"DTWARP","hclust",6,1,2,3,3,1,1,2,3,4,2,3,5,5,4,3,5,3,3,4,2,2,6,3,2,3,3,3,2,2,3,5,2,3,3,2,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,4,5,0.309086546676324,235.180060662248,0.355345159376458
"DTWARP","hclust",7,1,2,3,3,1,1,2,4,5,2,4,6,6,5,4,6,4,4,5,2,2,7,4,2,4,4,4,2,2,4,6,2,4,4,2,3,5,5,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,5,6,0.353089655694436,275.090269117662,0.342880113907501
"DTWARP","hclust",8,1,2,3,3,1,1,2,4,5,2,6,7,7,5,4,7,6,6,5,2,2,8,4,2,6,4,4,2,2,4,7,2,6,4,2,3,5,5,2,2,2,6,4,6,4,6,6,4,4,6,6,2,2,5,7,0.310509213190771,316.798755077105,0.282885339071949
"DTWARP","diana",2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,0.65609008953185,366.979779004705,0.452459560681951
"DTWARP","diana",3,1,2,3,3,1,1,2,2,3,2,3,1,3,3,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,3,3,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,3,3,0.491080520950586,259.129563204468,0.41561211994306
"DTWARP","diana",4,1,2,3,3,1,1,2,2,3,2,3,1,4,3,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,4,2,3,2,2,2,3,4,2,2,2,3,2,3,2,3,2,2,2,2,3,2,2,3,4,0.44681095805677,208.659743370951,0.392756608989968
"DTWARP","diana",5,1,2,3,3,1,1,2,4,3,2,3,1,5,3,4,1,4,3,3,2,2,4,4,2,3,4,4,2,2,4,5,2,3,4,2,4,3,5,2,2,2,3,4,3,4,3,4,4,4,4,3,2,2,3,5,0.377491226613107,268.136581589147,0.316365488252177
"DTWARP","diana",6,1,2,3,3,1,1,2,4,3,2,3,1,5,3,4,1,4,3,3,2,2,6,4,2,3,4,4,2,2,4,5,2,3,4,2,6,3,5,2,2,2,3,4,3,4,3,4,4,4,4,3,2,2,3,5,0.396464922704697,315.327245078946,0.322208187358379
"DTWARP","diana",7,1,2,3,3,1,1,2,4,3,2,3,1,5,3,4,1,4,3,3,2,2,6,4,2,3,4,4,2,2,4,5,2,3,4,2,7,3,5,2,2,2,3,4,3,4,3,4,4,4,4,3,2,2,3,5,0.396429858197085,323.730061689687,0.322472969334105
"DTWARP","diana",8,1,2,3,3,1,1,2,4,3,2,3,1,5,3,4,1,6,3,3,2,2,7,4,2,3,4,4,2,2,4,5,2,3,4,2,8,3,5,2,2,2,3,4,3,4,3,4,4,4,6,3,2,2,3,5,0.384930583318949,330.250167308533,0.314480675494176
